Product_ID,Product Name,Company,Listing Price,Sale Price,Rating,Discount %,value,Description
CD2053-105,Nike Air Max Triax 96,Nike,110,110,5.0,0,22.0,"More than 20 years after its initial release, the Nike Air Max Triax 96 returns as a cult classic. Featuring the same iconic shape and large-volume Air unit, it brings back the classic comfort and style you remember."
CI7395-100,Nike Air Max 90,Nike,110,110,3.561158724717176,0,31.0,"The Nike Air Max 90 gets you ready for the most romantic day of the year while staying true to its '90s running roots. Max Air unit helps cushion each step, while the solid-rubber Waffle outsole maximises traction."
AT5673-700,Nike Air VaporMax Flyknit 2 LXX,Nike,365,365,3.561158724717176,0,102.0,"The Nike Air VaporMax Flyknit 2 LXX places your foot directly on Air. By removing any layers in between and providing cushioning only where needed, it delivers the lightest, most flexible Air Max yet."
BV7775-100,Nike Free RN 5.0 AW,Nike,90,54,5.0,40,18.0,"An ideal performer for runs up to 3 miles, the Nike Free RN 5.0 AW returns to its roots as a motion shoe. A stripped-down upper with single-layer mesh stretches and moves with you. Less foam in the midsole makes it easy to hit the ground running."
CI7815-602,Air Jordan 1 Jester XX Low Laced,Nike,80,80,5.0,0,16.0,"The Air Jordan 1 Jester XX Low knows not to take things too seriously, except comfort. A real and synthetic leather upper is supportive where it counts, while the exaggerated midsole adds a little altitude with responsive cushioning."
CJ0818-146,Nike Metcon 5 Premium,Nike,120,120,3.561158724717176,0,34.0,The Nike Metcon 5 Premium arms you with stability for heavy lifting and traction for sprints during high-impact training. It combines breathability and durability to be your secret weapon in the gym.
CI1289-100,Nike Free RN 5.0,Nike,90,54,3.561158724717176,40,25.0,"An ideal performer for low-mileage sprints, the Nike Free RN 5.0 returns to its roots as a running shoe. Lightweight mesh in the upper provides more stretch to feel like a second skin. Less foam in the midsole means you're ready to hit the ground running."
CD7287-003,Nike Zoom Rival Fly,Nike,80,48,3.561158724717176,40,22.0,"Inspired by Japan's Ekiden relay runners, the Nike Zoom Rival Fly features a futuristic look with a Zoom Air unit in the forefoot that gives you responsive propulsion. Flex grooves underneath optimise toe-off and soft foam cushions your stride. The mesh and synthetic upper blends strength and breathability."
AO2607-401,PG 3,Nike,90,72,4.0,20,22.0,"Paul George's moon shot took him from Palmdale to basketball stardom, and now he's heading to new heights with clouds under his feet. Built on an outsole inspired by moon craters, the PG 3 combines sensational traction with responsive Zoom Air cushioning that helps you move seamlessly between offence and defence."
AO3424-001,Nike Free TR Ultra,Nike,80,64,1.0,20,80.0,"The Nike Free TR Ultra is lightweight and flexible to be quick and adaptable for whatever workout you take on. The slip-on design has Flywire cables to securely hold your foot. Soft, flexible foam cushioning has a wider surface area for more stability."
BQ5972-001,Nike MX-720-818,Nike,160,112,3.561158724717176,30,45.0,"Disrupt the universe in your Nike MX-720-818. Featuring materials inspired by spacesuits and quilted stitching on the upper, it takes the largest Air unit to date and blends it with the futuristic look of the final frontier. Mesh on the upper keeps your feet cool while the clear sole features the black and grey reminiscent of deep space."
313358-006,Air Jordan 7 Retro,Nike,160,112,4.8,30,33.0,"The Air Jordan 7 Retro celebrates MJ's championship legacy with a reissue of his 7th game shoe, the one he famously wore to gold-medal glory."
CI1290-100,Nike Epic Phantom React,Nike,140,84,5.0,40,28.0,"Soft to the touch, the Nike Epic Phantom React lets go of laces for a slip-on style that gets you up and running in no time. A snug, secure, sock-like fit within a breathable Flyknit and synthetic upper feels as though the Phantom ""disappears"" as you run."
BV6484-002,Nike Air Max 720 SE,Nike,160,112,3.561158724717176,30,45.0,"Boasting Nike's tallest Air unit to date, the Nike Air Max 720 SE offers 360 degrees of cushioning and then some. With a jaw-dropping outsole and moulded upper, this shoe brings future style to the present day."
